id;street_address;postal_code;city;state_province
1;healthily;cub quicker talkative;Birdieshire;retirement
2;pro brr;ah;Port Winnifredcester;frenetically diadem with
3;an firm;onto uh-huh tomorrow;Lake Lanechester;surprisingly blow glamorous
4;thankfully instantly ick;provider phew aggressive;Yvetteworth;till
5;elect;steep sender empowerment;Burniceworth;hmph coordination concerning
6;who deputise;majestically;Willmsshire;stripe knowledgeably
7;indeed diary beyond;worth;Stanshire;along
8;formulate ugh stable;yet between french;Hamilton;safari constellation oh
9;boohoo zowie pfft;sampan as;Jessyfield;towards while brightly
10;than;blend furthermore;Schmelerside;before
